Project executed on 02-06-2024 at 13:20:56.
main.cpp(13): Application start
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
DrunkShot.cpp(90): Touched left wall
DrunkShot.cpp(104): Touched left wall
